dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,P,PS160,Participation in activities of other groups or organisations,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PT005,Personal intergenerational cross-sectional weight,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,See Note 3.,
EU-SILC public microdata,P,PT010,Presence of Parents,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.  1 Lived with both parents (or persons considered as parents) 2 Lived with father only (or person considered as father) 3 Lived with mother only (or person considered as mother) 4 Lived in a private household without any parent 5 Lived in a collective household or institution,
EU-SILC public microdata,P,PT020,Number of adults in household,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.,
EU-SILC public microdata,P,PT030,Number of children in household,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.,
EU-SILC public microdata,P,PT040,Number of persons in the household in work,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.,
EU-SILC public microdata,P,PT050,Year of birth of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  Year (4 digits)",
EU-SILC public microdata,P,PT060,Country of birth of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 1 Born in the respondent's present country of residence (i.e. country of the survey) 2 Born in another EU country 3 Born in another European country 4 Born outside Europe",
EU-SILC public microdata,P,PT070,Citizenship of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 1 The respondent's present country of residence (i.e. country of the survey) 2 Another EU country 3 Another European country 4 Outside Europe",
EU-SILC public microdata,P,PT080,Year of birth of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  Year (4 digits)",
EU-SILC public microdata,P,PT090,Country of birth of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 1 Born in the respondent's present country of residence (i.e. country of the survey) 2 Born in another EU country 3 Born in another European country 4 Born outside Europe",
EU-SILC public microdata,P,PT100,Citizenship of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 1 The respondent's present country of residence (i.e. country of the survey) 2 Another EU country 3 Another European country 4 Outside Europe",
EU-SILC public microdata,P,PT110,Highest level of education attained by the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 0 Father could neither read nor write in any language 1 Low level (pre-primary, primary, or lower secondary education) 2 Medium level (upper secondary, or post-secondary non-tertiary education) 3 High level (first or second stage of tertiary education)",
