dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,D,DB010,Year of the survey,Basic data,Basic household data,All,true,,Basic variable from original data.
EU-SILC public microdata,D,DB020,Country,Basic data,Basic household data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,D,DB030,Household ID,Basic data,Basic household data,All,true,"This is the unique identifier used to link all 4 files together (RX030 in the Personal Register, PX030 in the Personal Data file, DB030 in the Household Register and HB030 Household Data file).  Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Household ID = Household number + split number (2 digits) The split number for the first wave is '00'.  If the household remains intact, it keeps the same household ID from one wave to the next.  If it ""splits-off"", the initial household will keep the original household ID, and the other household (i.e. the split-off household) will keep the same household number, but will be assigned the next available unique split number in sequence.",Basic variable from original data.
EU-SILC public microdata,D,DB040,Region,Basic data,Basic household data,All,true,NUTS classification.  Select hyperlink for code definitions.,"Basic categorical variable from original data.  Missing values are replaced by the most frequent region of the country.  Since there are very few missing values, this has no great impact on the results.  Used to simulate household structure for a complete population, and simulated during 1st stage of synthesisation."
EU-SILC public microdata,D,DB090,Household cross-sectional weight,Basic data,Basic household data,All,true,See Note 3.,Basic continuous variable from original data.  Variable simulated during 1st stage of synthesisation.
EU-SILC public microdata,R,RB010,Year of the survey,Basic data,Basic personal data,All,true,,Basic variable from original data.
EU-SILC public microdata,R,RB020,Country,Basic data,Basic personal data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,R,RB030,Personal ID,Basic data,Basic personal data,All,true,"Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Personal ID = Household ID + personal number (2 digits).",
EU-SILC public microdata,R,RB050,Personal cross-sectional weight,Basic data,Basic personal data,All,true,See Note 3.,Basic variable from original data.
EU-SILC public microdata,R,RB070,Quarter of Birth,Basic data,Demographic data,All,true,Quarter of the calendar year. 1 January - March 2 April - June 3 July - September 4 October - December,
EU-SILC public microdata,R,RB080,Year of birth,Basic data,Demographic data,All,true,"Discrete years from 80 years prior to the situation date; so 1932 onwards (where 1932 includes those born earlier) for the 2013 data, 1931 onwards for the 2012 data, etc.",Basic variable from original data.
EU-SILC public microdata,R,RB090,Gender,Basic data,Demographic data,All,true,1 Male 2 Female,"Basic categorical variable from original data.  If missing this is set to ""Male"".  Most of the original data contain no missing values for the ""Sex"" variable; if there are any missing values, their proportion is far below 1%, therefore this recoding has no great impact on the results.  Variable simulated during 1st stage of synthesisation."
EU-SILC public microdata,R,RB200,Residential Status,Basic data,Demographic data,All,true,1 currently living in the household 2 temporarily absent,
EU-SILC public microdata,R,RB210,Basic activity status,Basic data,Demographic data,All,true,1 at work 2 unemployed 3 in retirement or early retirement 4 other inactive person,
EU-SILC public microdata,R,RB245,Respondent status,Basic data,Basic personal data,All,true,1 current household member (hm) aged 16 and over (all hm aged 16+ interviewed) 2 selected respondent (only selected hm aged 16+ interviewed) 3 not selected respondent (only selected hm aged 16+ interviewed) 4 not eligible person (hm aged less than 16),
EU-SILC public microdata,R,RB250,Data status,Basic data,Basic personal data,All,true,"Information or interview completed: 11 information only completed from interview 12 information only completed from registers  13 information completed from both interview and registers 14 information completed from full-record imputation Interview not completed, though contact made: 21 individual unable to respond and no proxy possible 22 failed to return self-completed questionnaire 23 refusal to cooperate Individual not contacted because: 31 temporarily away and no proxy possible  32 not contacted for other reasons Information or interview not completed: 33 reason unknown",
EU-SILC public microdata,R,RB260,Type of interview,Basic data,Basic personal data,All,true,1 face to face interview-PAPI (pencil and paper interview) 2 face to face interview-CAPI (computer assisted personal interviewing) 3 CATI (computer assisted telephone interviewing) 4 self-administered by respondent 5 proxy interview,
EU-SILC public microdata,R,RL010,Education at pre-school: hours of education during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RL020,Education at compulsory school: hours of education during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RL030,Childcare at centre-based services: hours of child care during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RL040,Childcare at day-care centre: hours of child care during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RL050,Child care by a professional child-miner: hours of child care during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RL060,Child care by grand-parents: hours of child care during a usual week,Labour information,Childcare,All,true,Discrete values between 1 hour and 99 hours.,
EU-SILC public microdata,R,RX010,Age at the date of the interview,Basic data,Basic personal data,All,false,"Discrete values between 0-years and 80-years, where 80 years indicates 80-years and older.",Categorical integer calculated as difference between the survey year (RB010) and the year of birth (RB080).  Variable simulated during 1st stage of synthesisation.
EU-SILC public microdata,R,RX020,Age at the end of the income reference period,Basic data,Basic personal data,All,false,"Discrete values between 0-years and 80-years, where 80 years indicates 80-years and older.",Calculated as difference between the end of the income reference period and the year of birth (RB080).
EU-SILC public microdata,R,RX030,Household ID,Basic data,Basic household data,All,false,"This is the unique identifier used to link all 4 files together (RX030 in the Personal Register, PX030 in the Personal Data file, DB030 in the Household Register and HB030 Household Data file).  Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Household ID = Household number + split number (2 digits) The split number for the first wave is '00'.  If the household remains intact, it keeps the same household ID from one wave to the next.  If it ""splits-off"", the initial household will keep the original household ID, and the other household (i.e. the split-off household) will keep the same household number, but will be assigned the next available unique split number in sequence.",If missing this is set to the ID from the household register (DB030).
EU-SILC public microdata,R,RX040,Work intensity,Basic data,Basic household data,"2008 to 2013, inclusive",false,"Used 2008 onwards.  For each working age person (aged 18 to 64) in the household who is not classified as a dependent, the following are calculated: 1. the number of months in the previous year in which the person has given informaiton about their activity status (the 'workable' months); 2. the number of months in the previous year in which the person has been classified as 'at work'. Work intensity is the value derived from point 2 divided by that from point 1, and the results are defined as follows:  0 - 0.2 Very low work intensity 0.2 - 0.45 Low work intensity 0.45 - 0.55 Medium work intensity 0.55 - 0.85 High work intensity 0.85 - 1 Very high work intensity There is an additional category of 0.2 - 1 which represents work intensity other than very low",
EU-SILC public microdata,R,RX050,Low work intensity status,Basic data,Basic household data,"2008 to 2013, inclusive",false,Used 2008 onwards.  0 not low work intensity 1 low work intensity 2 not applicable,
EU-SILC public microdata,R,RX060,Severely materially deprived household,Basic data,Basic household data,"2008 to 2013, inclusive",false,Used 2008 onwards.  0 not severely deprived 1 severely deprived,
EU-SILC public microdata,R,RX070,At risk of poverty or social exclusion,Basic data,Basic household data,"2008 to 2013, inclusive",false,"Used 2008 onwards.  Derived from variables HX080 (poverty indicator), HS011 - HS110 (material deprivation indicators) and RX040 (work intensity indicator). 0 not ARP / not severely materially deprived / no low work intensity 1 not ARP / not severely materially deprived / low work intensity 10 not ARP / severely materially deprived / no low work intensity 11 not ARP / severely materially deprived / low work intensity 100 ARP / not severely materially deprived / no low work intensity 101 ARP / not severely materially deprived / low work intensity 110 ARP / severely materially deprived / no low work intensity 111 ARP / severely materially deprived / low work intensity",
EU-SILC public microdata,H,HB010,Year of the survey,Basic data,Basic household data,All,true,,Basic variable from original data.
EU-SILC public microdata,H,HB020,Country,Basic data,Basic household data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,H,HB030,Household ID,Basic data,Basic household data,All,true,"This is the unique identifier used to link all 4 files together (RX030 in the Personal Register, PX030 in the Personal Data file, DB030 in the Household Register and HB030 Household Data file).  Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Household ID = Household number + split number (2 digits) The split number for the first wave is '00'.  If the household remains intact, it keeps the same household ID from one wave to the next.  If it ""splits-off"", the initial household will keep the original household ID, and the other household (i.e. the split-off household) will keep the same household number, but will be assigned the next available unique split number in sequence.",If missing this is set to the ID from the household register (DB030).
EU-SILC public microdata,H,HB050,Quarter of Household interview,Basic data,Basic household data,All,true,Quarter of the calendar year. 1 January - March 2 April - June 3 July - September 4 October - December,
EU-SILC public microdata,H,HB060,Year of Household interview,Basic data,Basic household data,All,true,,
EU-SILC public microdata,H,HB100,Number of minutes to complete the household questionnaire,Basic data,Basic household data,All,true,Discrete values from 1-minute to 90-minutes.,
EU-SILC public microdata,H,HY010,Total household gross income,Income,Total household income,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.  HY010 = sum for all household members of gross personal income + gross income components at household level = (PY010G + PY021G + PY050G + PY080G + PY090G + PY100G + PY110G + PY120G + PY130G + PY140G) + (HY040G + HY050G + HY060G + HY070G + HY080G + HY090G + HY110G)",Basic variable from original data.  The sum of the personal income for the complete household is computed by aggregration according to household ID.  See note 5.
EU-SILC public microdata,H,HY020,Total disposable household income,Income,Total household income,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.  HY020 = total household gross income - taxes & inter-household transfers = HY010 - (HY120G + HY130G + HY140G)",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY022,Total disposable household income before social transfers other than old-age and survivors benefits,Income,Total household income,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.  HY022 = total disposable household income - total social transfers + old age benefits & survivor benefits = HY020 - (PY090G + PY120G + PY130G + PY140G + HY050G + HY060G + HY070G)  Alternatively, HY022 = PY010G + PY021G + PY050G + PY080G + PY100G + PY110G + HY040G + HY080G + HY090G + HY110G - HY120G - HY130G - HY140G",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY023,Total disposable household income before social transfers including old-age and survivors benefits,Income,Total household income,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.  HY023 = total disposable household income - total social transfers - old age benefits & survivor benefits = HY020 - (PY090G + PY100G + PY110G + PY120G + PY130G + PY140G + HY050G + HY060G + HY070G)  Alternatively, HY023 = PY010G + PY021G + PY050G + PY080G + HY040G + HY080G + HY090G + HY110G - HY120G - HY130G - HY140G",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY025,Within-household non-response inflation factor,Income,Total household income,"2005 - 2012, inclusive",false,"The factor by which it is necessary to multiply the total gross income, total disposable income, or the total disposable income before social transfers to compensate for non-response in individual questionnaires.  Semi-continuous variable between -100 and 100.",
EU-SILC public microdata,H,HY030G,Imputed rent (gross),Income,Gross income components at household level,All,true,"Income imputed for all households that do not report themselves as paying full rent, either because they are owner-occupiers or they live in accommodation rented at a lower price than the market value.  Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY030N,Imputed rent (net),Income,Gross income components at household level,All,false,"Income imputed for all households that do not report themselves as paying full rent, either because they are owner-occupiers or they live in accommodation rented at a lower price than the market value.  Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY040G,Income from rental of a property or land (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY040N,Income from rental of a property or land (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY050G,Family / children related allowances (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY050N,Family / children related allowances (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY060G,Social exclusion not elsewhere classified (gross),Income,Gross income components at household level,All,true,"Income support and other cash benefits paid to support destitute and vulnerable people to help alleviate poverty or assist in difficult situations, including payments made by private non-profit organisations.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY060N,Social Exclusion not elsewhere classified (net),Income,Gross income components at household level,All,false,"Income support and other cash benefits paid to support destitute and vulnerable people to help alleviate poverty or assist in difficult situations, including payments made by private non-profit organisations.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY070G,Housing allowances (gross),Income,Gross income components at household level,All,true,"Income resulting from interventions by public authorities to help households meet the cost of housing.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY070N,Housing allowances (net),Income,Gross income components at household level,All,false,"Income resulting from interventions by public authorities to help households meet the cost of housing.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY080G,Regular inter-household cash transfer received (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY080N,Regular inter-household cash received (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY081G,Alimonies received (gross),Income,Gross income components at household level,"2007 to 2013, inclusive",true,"Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY081N,Alimonies received (net),Income,Gross income components at household level,"2007 to 2013, inclusive",false,"Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY090G,Interests (gross),Income,Gross income components at household level,All,true,"Income from interests, dividends, profit from capital investments and unincorporated business.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY090N,Interests (net),Income,Gross income components at household level,All,false,"Income from interests, dividends, profit from capital investments and unincorporated business.  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY100G,Interest repayments on mortgage (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY100N,Interest repayment on mortgage (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY110G,Income received by people aged under 16 (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY110N,Income received by people aged under 16 (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY120G,Regular taxes on wealth (gross),Income,Gross income components at household level,All,true,"Taxes payable on the ownership or use of land or buildings by the owner, and on net wealth or other assets (e.g. jewellery).  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY120N,Regular taxes on wealth (net),Income,Gross income components at household level,All,false,"Taxes payable on the ownership or use of land or buildings by the owner, and on net wealth or other assets (e.g. jewellery).  Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY130G,Regular inter-household cash transfer paid (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY130N,Regular inter-household cash transfer paid,Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY131G,Alimonies paid (gross),Income,Gross income components at household level,"2007 to 2013, inclusive",true,"Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY131N,Alimonies paid (net),Income,Gross income components at household level,"2007 to 2013, inclusive",false,"Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY140G,Tax on income and social contributions (gross),Income,Gross income components at household level,All,true,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY140N,Tax on income and social contribution (net),Income,Gross income components at household level,All,false,"Semi-continuous values of the national currency, where 0 indicates no income.",Basic variable from original data.  See note 5.
EU-SILC public microdata,H,HY145N,Repayments / receipts for tax adjustment (net),Income,Gross income components at household level,All,false,"Money received from Tax Authorities related in income received.  Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY170G,Value of goods produced for own consumption (gross),Income,Gross income components at household level,"2010 to 2013, inclusive",false,"Used 2010 onwards, when it replaced PY070G.  Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HY170N,Value of goods produced for own consumption (net),Income,Gross income components at household level,"2010 to 2013, inclusive",false,"Replaced PY070G.  Semi-continuous values of the national currency, where 0 indicates no income.",See note 5.
EU-SILC public microdata,H,HS010,Arrears on mortgage or rent payments,Social exclusion,Housing and non-housing related arrears,"2005 to 2007, inclusive",false,"Replaced by HS011.  Whether the household has been in arrears on mortgage or rental payments in the past 12 months.  1 yes, once 2 no",
EU-SILC public microdata,H,HS011,Arrears on mortgage or rent payments,Social exclusion,Housing and non-housing related arrears,"2008 to 2013, inclusive",true,"Replaced HS010.  Whether the household has been in arrears on mortgage or rental payments in the past 12 months.  1 yes, once 2 yes, twice or more 3 no",
EU-SILC public microdata,H,HS020,Arrears on utility bills,Social exclusion,Housing and non-housing related arrears,"2005 to 2007, inclusive",false,"Replaced by HS021.  Whether the household has been in arrears on utility bills in the past 12 months.  1 yes, once 2 no",
EU-SILC public microdata,H,HS021,Arrears on utility bills,Social exclusion,Housing and non-housing related arrears,"2008 to 2013, inclusive",true,"Replaced HS020.  Whether the household has been in arrears on utility bills in the past 12 months.  1 yes, once 2 yes, twice or more 3 no",
EU-SILC public microdata,H,HS030,Arrears on hire purchase instalments or other loan payments,Social exclusion,Housing and non-housing related arrears,2005 - 2007,false,"Replaced by HS031.  Whether the household has been in arrears on hire purchase instalments or other loan repayments (non-housing related debt) in the past 12 months. 1 yes, once 2 no",
EU-SILC public microdata,H,HS031,Arrears on hire purchase instalments or other loan payments,Social exclusion,Housing and non-housing related arrears,"2008 to 2013, inclusive",true,"Replaced HS030.  Whether the household has been in arrears on hire purchase instalments or other loan repayments (non-housing related debt) in the past 12 months. 1 yes, once 2 yes, twice or more 3 no",
EU-SILC public microdata,H,HS040,Capacity to afford paying for one week annual holiday away from home,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no,
EU-SILC public microdata,H,HS050,Capacity to afford a meal with meat or proteins regularly,Social exclusion,Non-monetary household deprivation indicator,All,true,Including chicken fish or vegetarian equivalent every second day.  1 yes 2 no,
EU-SILC public microdata,H,HS060,Capacity to face unexpected financial expenses,Social exclusion,Non-monetary household deprivation indicator,All,true,"Household is able to pay unexpected financial expenses without asking for financial help from anybody, and without paying in installments.  A required expense could be different across countries, but examples are surgery, a funeral, major repairs to the house, and replacement of durable goods such as a car.  1 yes 2 no",
EU-SILC public microdata,H,HS070,Do you have a telephone (including mobile phone)?,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no - cannot afford 3 no - other reason,
EU-SILC public microdata,H,HS080,Do you have a colour TV?,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no - cannot afford 3 no - other reason,
EU-SILC public microdata,H,HS090,Do you have a computer?,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no - cannot afford 3 no - other reason,
EU-SILC public microdata,H,HS100,Do you have a washing maschine?,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no - cannot afford 3 no - other reason,
EU-SILC public microdata,H,HS110,Do you have a car?,Social exclusion,Non-monetary household deprivation indicator,All,true,1 yes 2 no - cannot afford 3 no - other reason,
EU-SILC public microdata,H,HS120,Ability to make ends meet,Social exclusion,Non-monetary household deprivation indicator,All,true,"""Make ends meet"" refers to a household's ability to pay for its usual necessary expenses.  This question assesses the respondents' feeling about the level of difficulty experienced by the household in meeting necessary expenditure.  1 with great difficulty 2 with difficulty 3 with some difficulty 4 fairly easily 5 easily 6 very easily",
EU-SILC public microdata,H,HS130,"Lowest monthly income to ""make ends meet""",Social exclusion,Non-monetary household deprivation indicator,All,true,"Opinion on minimum net income required to cover the ""usual necessary expenses"".  Semi-continuous values of the national currency, where 0 indicates no income.",See Note 5.
EU-SILC public microdata,H,HS140,Financial burden of the total housing cost,Social exclusion,Non-monetary household deprivation indicator,All,true,1 A heavy burden 2 somewhat a burden 3 not a burden at all,
EU-SILC public microdata,H,HS150,Financial Burden of the repayment of debts from hire purchases or loans,Social exclusion,Non-monetary household deprivation indicator,All,true,1 A heavy burden 2 somewhat a burden 3 not a burden at all,
EU-SILC public microdata,H,HS160,Problems with the dwelling: too dark,Social exclusion,Physical and social environment,All,true,1 yes 2 no,
EU-SILC public microdata,H,HS170,Noise from neighbours or from the street,Social exclusion,Physical and social environment,All,true,1 yes 2 no,
EU-SILC public microdata,H,HS180,Pollution,Social exclusion,Physical and social environment,All,true,1 yes 2 no,
EU-SILC public microdata,H,HS190,Crime violence or vandalism in the area,Social exclusion,Physical and social environment,All,true,1 yes 2 no,
EU-SILC public microdata,H,HH010,Dwelling Type,Housing,"Dwelling type, tenure status and housing conditions",All,true,1 detached house 2 semi-detached house  3 apartment or flat in a building with less than  10 dwellings 4 apartment or flat in a building with 10 or more dwellings,
EU-SILC public microdata,H,HH020,Tenure Status,Housing,"Dwelling type, tenure status and housing conditions","2005 to 2009, inclusive",false,Replaced by HH021.  1 Owner 2 Tenant/subtenant paying rent at prevailing or market rate 3 Accommodation is rented at a reduced rate (lower price that the market price) 4 Accommodation is provided free,
EU-SILC public microdata,H,HH021,Tenure Status,Housing,"Dwelling type, tenure status and housing conditions","2010 to 2013, inclusive",true,Replaced HH020.  1 Outright owner 2 Owner paying mortgage 3 Tenant/subtenant paying rent at prevailing or market rate 4 Accommodation is rented at a reduced rate (lower price that the market price) 5 Accommodation is provided free,
EU-SILC public microdata,H,HH030,Number of rooms available to the household,Housing,"Dwelling type, tenure status and housing conditions",All,true,"A room is defined as a space of at least 4m2, with a height of over 2 metres, which is accessible from inside the dwelling.  Bathroom, toilet, corridor, utility room, lobby and veranda are excluded.  If the dwelling is shared by more than one household, and some rooms are shared with other households (within the same dwelling), the number of shared rooms is divided by the number of households and the equal share added to each household.  This variable can therefore be coded with one decimal place.  Discrete values to one decimal place between 1 and 10, where 10 represents 10 or more rooms.",
EU-SILC public microdata,H,HH040,Leaking roof,Housing,"Dwelling type, tenure status and housing conditions",All,true,"Respondents are asked if they have a problem with their dwelling / accommodation with regard to a leaking roof, damp walls / floors / foundations, or rot in the window frames or floor.   1 yes 2 no",
EU-SILC public microdata,H,HH050,Ability to keep home adequately warm,Housing,"Dwelling type, tenure status and housing conditions",All,true,Respondents are asked if their household can afford to keep its home adequately warm.  1 yes 2 no,
EU-SILC public microdata,H,HH060,Current rent related to occupied dwelling,Housing,Housing cost,All,true,"Total monthly rent paid on the household's main residence, including any amount paid through a housing benefit.  It concerns the use of an unfurnished dwelling.  Semi-continuous values of the national currency, where 0 indicates no cost.","Expressed in EUR for all countries; where countries are not members of the euro area, a conversion factor is applied (see HX010).  Values converted from 2 decimal places to semi-continuous integers."
EU-SILC public microdata,H,HH061,Subjective rent,Housing,Housing cost,All,true,"Information collected from owner-occupiers, and those living in rent-free or reduced rent accommodation, on what they estimate the monthly market rent of their dwilling to be.  Semi-continuous values of the national currency, where 0 indicates no cost.","Expressed in EUR for all countries; where countries are not members of the euro area, a conversion factor is applied (see HX010).  Values converted from 2 decimal places to semi-continuous integers."
EU-SILC public microdata,H,HH070,Total Housing cost,Housing,Housing cost,All,true,"Monthly costs connected with the household's right to live in the accommodation, including the cost of utilities.  Semi-continuous values of the national currency, where 0 indicates no cost.","Expressed in EUR for all countries; where countries are not members of the euro area, a conversion factor is applied (see HX010)."
EU-SILC public microdata,H,HH071,Mortgage principal repayment,Housing,Housing cost,"2010 to 2013, inclusive",true,"Refers to monthly mortgage principle repayment.  Only includes morgages taken for the purpose of buying the main dwelling.  Mortgage interest payments are excluded.  Semi-continuous values of the national currency, where 0 indicates no cost.","Expressed in EUR for all countries; where countries are not members of the euro area, a conversion factor is applied (see HX010)."
EU-SILC public microdata,H,HH080,Bath or shower in dwelling,Housing,Amenities in dwelling,"2005 to 2007, inclusive",false,Replaced by HH081.  1 Yes 2 No,
EU-SILC public microdata,H,HH081,Bath or shower in dwelling,Housing,Amenities in dwelling,"2008 to 2013, inclusive",true,"Replaced HH080.  1 yes, for sole use of the household 2 yes, shared 3 no",
EU-SILC public microdata,H,HH090,Indoor flushing toilet for sole use of household,Housing,Amenities in dwelling,"2005 to 2007, inclusive",false,Replaced by HH091.  1 Yes 2 No,
EU-SILC public microdata,H,HH091,Indoor flushing toilet for sole use of household,Housing,Amenities in dwelling,"2008 to 2013, inclusive",true,"Replaced HH090.  1 yes, for sole use of the household 2 yes, shared 3 no",
EU-SILC public microdata,H,HX010,Change rate,,,All,false,,The conversion factor applied to non-Euro currencies to express value in their Euro equivalent.
EU-SILC public microdata,H,HX040,Household size,,,All,false,Discrete values in the range 1 to 28.,"Categorical variable calculated as the number of appearances of the corresponding Household ID value.  Used to simulate household structure for a complete population, and simulated during 1st stage of synthesisation."
EU-SILC public microdata,H,HX050,Equivalised household size,,,All,false,"Using a standard (equivalence) scale, a weight is applied to all members of the household, and totalled to arrive at the equivalised household size:  • 1.0 to the first adult;  • 0.5 to the second and each subsequent person aged 14 and over;  • 0.3 to each child aged under 14.",
EU-SILC public microdata,H,HX060,Household type,,,All,false,"5 One person household 6 Two adults, no dependent children, both adults under 65 years 7 Two adults, no dependent children, at least one adult 65 years or more 8 Other households without dependent children 9 Single parent household, one or more dependent children 10 Two adults, one dependent child 11 Two adults, 2 dependent children 12 Two adults, three or more dependent children 13 Other households with dependent children 16 Other (these household are excluded from Laeken indicators calculation)",
EU-SILC public microdata,H,HX070,Tenure state,,,All,false,"Derived from HH021. 1 when HH021 is 1, 2 or 5 2 when HH021 is 2 or 3",
EU-SILC public microdata,H,HX080,Poverty indicator,,,All,false,"Expressed in Purchase Parity Standards in order to take into account the differences in cost of living across the EU Member States.  0 No, when HX090 >= at risk of poverty threshold (60% of the national median HX090) 1 Yes, when HX090 < at risk of poverty threshold (60% of the national median HX090)",
EU-SILC public microdata,H,HX090,Equivalised disposable income,,,All,false,"Total household income, after tax and other deductions, that is available for spending or saving, divided by the number of household members converted into equalised adults at HX050.",See note 5.
EU-SILC public microdata,H,HX120,Overcrowded household,,,"2009 to 2013, inclusive",false,0 not overcrowded 1 overcrowded,
